,label_LUM5_single,label_RNR_nres,label_mdist_smallparks,label_hType_mix,label_nig_rat_daily,label_mdist_nres_daily,label_num_community_places,label_num_community_places_poi
AUC,0.509,0.563,0.590,0.622,0.555,0.773,0.726,0.527
Accuracy,0.492,0.561,0.563,0.581,0.564,0.712,0.674,0.526
Precision,0.492,0.555,0.561,0.577,0.566,0.718,0.692,0.525
Recall,0.546,0.638,0.614,0.611,0.557,0.699,0.624,0.546
