,label_LUM5_single,label_RNR_nres,label_mdist_smallparks,label_hType_mix,label_nig_rat_daily,label_mdist_nres_daily,label_num_community_places,label_num_community_places_poi
AUC,0.520,0.579,0.590,0.637,0.542,0.776,0.744,0.512
Accuracy,0.531,0.558,0.567,0.591,0.534,0.702,0.669,0.512
Precision,0.530,0.555,0.561,0.590,0.533,0.716,0.689,0.512
Recall,0.583,0.605,0.610,0.611,0.538,0.675,0.624,0.520
