,label_LUM5_single,label_RNR_nres,label_mdist_smallparks,label_hType_mix,label_nig_rat_daily,label_mdist_nres_daily,label_num_community_places,label_num_community_places_poi
AUC,0.647,0.886,0.727,0.723,0.666,0.780,0.798,0.814
Accuracy,0.575,0.814,0.686,0.692,0.637,0.671,0.692,0.756
Precision,0.589,0.841,0.721,0.673,0.654,0.725,0.679,0.775
Recall,0.575,0.771,0.629,0.743,0.578,0.629,0.721,0.728
