,label_hType_mix,label_num_intersect,label_bld_avg_age,label_emp_rat_num,label_LUM5_single,label_RNR_nres,label_mdist_smallparks,label_nig_rat_daily,label_nig_rat_daily3,label_mdist_nres_daily,label_num_community_places,label_num_community_places_poi,label_avg_block_area,label_sphi,label_enterprises_empl_size,label_pop_rat_num,label_emp_rat_pop,label_den_nres_daily,label_mdist_parks,label_den_nres_non-daily,label_mdist_railways,label_mdist_highways,label_mdist_water,label_activity_density
MAE,0.19043888366102055,0.20291566453402374,0.16550054161958233,0.1745731843115478,0.18523025688914005,0.27160472303935085,0.1739738130243047,0.19948504069446624,0.13021410318909885,0.1971255268421384,0.17841405621325646,0.23040379158684796,0.18383474783937578,0.17671941282100517,0.29055237914010773,0.20400427967379428,0.2382567151244891,0.21683246074302293,0.249154707994176,0.15186849680795328,0.25030227285482576,0.26922366549787863,0.19768550011749603,0.19735385126943822
R2,-0.18476743126374617,0.19656997507110896,-0.27208082610331275,-0.013908251483604417,-0.3501277897359567,-0.25750968966044496,0.05697535207565518,-2.1324123041136005,-0.5630237713216222,0.29444691809757095,0.32378796139267185,-0.23673195654971102,0.04947055039441872,0.16872395175555832,-0.5641703053131559,0.2935703023229177,-0.21142495623879642,0.25356152550949285,-0.221715509899169,0.26300281380932033,-0.45626603594319737,-0.3086968904889913,-0.4567659111750113,0.21859056223780737
RMSE,0.22955731932722287,0.24610135751226447,0.21362697527266103,0.21315088392871107,0.22903768299444072,0.32436051681966815,0.21883070969201218,0.2327900453375973,0.18760225484968765,0.24006839717857759,0.21834196175505605,0.2870223070389312,0.23197738146143693,0.21473799614472155,0.3444612849901903,0.24876233118857582,0.29206816792535095,0.2631226121956829,0.2879531443421988,0.2003464772606671,0.29802882593802965,0.31343242206188865,0.25328914529623014,0.24558154530078835
