,label_hType_mix,label_num_intersect,label_bld_avg_age,label_emp_rat_num,label_LUM5_single,label_RNR_nres,label_mdist_smallparks,label_nig_rat_daily,label_nig_rat_daily3,label_mdist_nres_daily,label_num_community_places,label_num_community_places_poi,label_avg_block_area,label_sphi,label_enterprises_empl_size,label_pop_rat_num,label_emp_rat_pop,label_den_nres_daily,label_mdist_parks,label_den_nres_non-daily,label_mdist_railways,label_mdist_highways,label_mdist_water,label_activity_density
MAE,0.17395882714364286,0.20346439725492385,0.25332482306829673,0.1848031397954472,0.2464422598054748,0.27823630118649506,0.21290740464306487,0.2271551176152221,0.13439262306254982,0.20909557816278582,0.21408685536168195,0.2011348727346077,0.21610856610201318,0.2502295025862584,0.25873000730958107,0.21264304454511138,0.2513833397155711,0.21768901449116138,0.17812929674191552,0.17481762512070545,0.24748646536422675,0.27272507118215145,0.31081996039686294,0.1604829049620502
R2,0.09484403026983679,0.06127008871512296,-0.31915286062888537,-0.12558983423215553,-0.42198212408894453,-0.31743296509724805,-0.025181347968401768,-0.6480456827110439,-0.03214829779796502,0.12144749834967394,-0.10904626936426998,-0.12207414694772911,-0.06189968741129981,0.051983267817907186,-0.2137027610436586,0.2611467204963641,-0.32660638925466645,-0.13157435934441586,-0.023130911375287777,0.19752083925946506,-0.05442244143685482,-0.16024488889390298,-0.6913241106497781,0.34303723059367186
RMSE,0.22697287752298434,0.24291097659482377,0.29824073539010904,0.22927298554184722,0.29355784539194574,0.34001720226240667,0.2561625766282005,0.28819663914124455,0.21438754571229968,0.24215896994960495,0.24957452731614135,0.24333885778944248,0.2651582691705005,0.283167168890934,0.31514678568965937,0.2614351543279396,0.2998808847032789,0.2522975506765863,0.22860446954473632,0.21978157354942826,0.29753488926136723,0.328034180940776,0.35312256823965166,0.1977462369679878
