,label_hType_mix,label_num_intersect,label_bld_avg_age,label_emp_rat_num,label_LUM5_single,label_RNR_nres,label_mdist_smallparks,label_nig_rat_daily,label_nig_rat_daily3,label_mdist_nres_daily,label_num_community_places,label_num_community_places_poi,label_avg_block_area,label_sphi,label_enterprises_empl_size,label_pop_rat_num,label_emp_rat_pop,label_den_nres_daily,label_mdist_parks,label_den_nres_non-daily,label_mdist_railways,label_mdist_highways,label_mdist_water,label_activity_density
MAE,0.25834639083560784,0.19072550611875955,0.24937627134244603,0.1875743068133572,0.21926487354750318,0.2480630047117076,0.20068475443394587,0.21721354673684826,0.13100556057528806,0.19181163627065526,0.16976346071554985,0.19982587095687668,0.20782488946417527,0.2165636714600779,0.19121995521954258,0.20630026771043816,0.17415317667604166,0.17023879288103913,0.2560539476078562,0.15915491911081173,0.229800567685939,0.23316158633862585,0.24864880639516643,0.1717461514491374
R2,-0.49423015061857156,0.15683309554958924,-0.7859192566372895,0.1055393078893947,-0.20740298576743843,-0.24161696574199554,0.0430945050018664,-0.13033091251352635,-0.11069191168847459,0.2593311795454233,0.13463415834023296,-0.38025615250751477,0.1603436839129705,0.0012635852434716988,-0.1711540238204705,0.09998542817682643,-0.031370169857019015,0.18591496270487673,-0.4373006892381248,-0.0005533350953739191,0.1858828245372991,-0.2141919622325401,-0.31708325543175353,0.3065802664989956
RMSE,0.348696075322854,0.23951456102239732,0.28549856548223973,0.2220185552970345,0.2818535650265761,0.3027843032535986,0.24174470472855691,0.27076391398381544,0.20907091480622975,0.23781277938500409,0.21095778220590194,0.24745777751751794,0.25746474666882263,0.2600446264548263,0.2407240887624661,0.25209604910690053,0.21308588849804125,0.21740520194866028,0.3112858191531316,0.21894363052188331,0.2902025716623323,0.2921725026551028,0.2977402578295944,0.21369828803272958
