,label_hType_mix,label_num_intersect,label_bld_avg_age,label_emp_rat_num,label_LUM5_single,label_RNR_nres,label_mdist_smallparks,label_nig_rat_daily,label_nig_rat_daily3,label_mdist_nres_daily,label_num_community_places,label_num_community_places_poi,label_avg_block_area,label_sphi,label_enterprises_empl_size,label_pop_rat_num,label_emp_rat_pop,label_bld_rat_area,label_den_nres_daily,label_mdist_parks,label_den_nres_non-daily,label_mdist_railways,label_mdist_highways,label_mdist_water,label_activity_density
AUC,0.723,0.791,0.932,0.837,0.647,0.886,0.727,0.666,0.826,0.780,0.798,0.814,0.897,0.561,0.705,0.716,0.665,0,0.783,0.777,0.900,0.964,1.000,0.944,0.836
Accuracy,0.692,0.741,0.872,0.754,0.575,0.814,0.686,0.637,0.711,0.671,0.692,0.756,0.824,0.550,0.651,0.718,0.638,0,0.733,0.710,0.873,0.868,1.000,0.883,0.787
Precision,0.673,0.753,0.906,0.758,0.589,0.841,0.721,0.654,0.735,0.725,0.679,0.775,0.856,0.564,0.650,0.704,0.638,0,0.752,0.721,0.858,0.900,1.000,0.889,0.836
Recall,0.743,0.727,0.846,0.750,0.575,0.771,0.629,0.578,0.689,0.629,0.721,0.728,0.800,0.467,0.611,0.790,0.639,0,0.700,0.696,0.921,0.847,1.000,0.869,0.714
