,label_hType_mix,label_num_intersect,label_bld_avg_age,label_emp_rat_num,label_LUM5_single,label_RNR_nres,label_mdist_smallparks,label_nig_rat_daily,label_nig_rat_daily3,label_mdist_nres_daily,label_num_community_places,label_num_community_places_poi,label_avg_block_area,label_sphi,label_enterprises_empl_size,label_pop_rat_num,label_emp_rat_pop,label_bld_rat_area,label_den_nres_daily,label_mdist_parks,label_den_nres_non-daily,label_mdist_railways,label_mdist_highways,label_mdist_water,label_activity_density
AUC,0.915,0.968,0.990,0.948,0.877,0.898,0.939,0.915,0.963,0.933,0.914,0.840,0.912,0.968,0.814,0.864,0.725,0.983,0.957,0.848,0.914,0.819,0.925,0.974,0.911
Accuracy,0.841,0.873,0.968,0.831,0.808,0.868,0.872,0.871,0.886,0.836,0.795,0.741,0.770,0.840,0.717,0.760,0.650,0.900,0.840,0.770,0.816,0.754,0.826,0.930,0.821
Precision,0.838,0.917,0.943,0.873,0.795,0.886,0.885,0.872,0.889,0.873,0.871,0.750,0.804,0.858,0.725,0.760,0.669,0.910,0.866,0.723,0.810,0.782,0.863,0.904,0.808
Recall,0.862,0.843,1.000,0.843,0.879,0.839,0.857,0.885,0.886,0.786,0.705,0.742,0.746,0.880,0.740,0.740,0.679,0.900,0.824,0.820,0.805,0.722,0.812,0.969,0.871
