,label_LUM5_single,label_RNR_nres,label_mdist_smallparks,label_hType_mix,label_nig_rat_daily,label_mdist_nres_daily,label_num_community_places,label_num_community_places_poi
AUC,0.864,0.492,0.631,0.675,0.478,0.804,0.846,0.451
Accuracy,0.778,0.484,0.621,0.621,0.505,0.727,0.789,0.475
Precision,0.836,0.487,0.628,0.623,0.505,0.731,0.788,0.479
Recall,0.719,0.521,0.613,0.622,0.536,0.723,0.792,0.466
