,label_mdist_parks,label_mdist_railways,label_mdist_highways,label_mdist_water
AUC,0.579,0.525,0.654,0.645
Accuracy,0.576,0.533,0.598,0.596
Precision,0.572,0.534,0.597,0.602
Recall,0.612,0.545,0.616,0.579
