,label_LUM5_single,label_RNR_nres,label_mdist_smallparks,label_hType_mix,label_nig_rat_daily,label_mdist_nres_daily,label_num_community_places,label_num_community_places_poi
AUC,0.921,0.993,0.831,0.801,0.725,0.814,0.854,0.909
Accuracy,0.867,0.973,0.741,0.708,0.654,0.738,0.827,0.856
Precision,0.851,0.978,0.784,0.713,0.662,0.753,0.820,0.884
Recall,0.900,0.971,0.714,0.743,0.636,0.780,0.860,0.833
