,label_hType_mix,label_num_intersect,label_bld_avg_age,label_emp_rat_num,label_LUM5_single,label_RNR_nres,label_mdist_smallparks,label_nig_rat_daily,label_nig_rat_daily3,label_mdist_nres_daily,label_num_community_places,label_num_community_places_poi,label_avg_block_area,label_sphi,label_enterprises_empl_size,label_emp_rat_pop,label_den_nres_daily,label_mdist_parks,label_den_nres_non-daily,label_mdist_railways,label_mdist_highways,label_mdist_water,label_activity_density
MAE,0.20906686611121578,0.15411470669923324,0.22393985057815521,0.18793350328473252,0.26978707457278184,0.2509706847883797,0.18811644307764838,0.18842142270658566,0.15798958090995835,0.17452197577337628,0.22306920207601938,0.22830554047041407,0.18480703622032507,0.22136141678731325,0.22511894675130453,0.23796287636919472,0.23677965361656914,0.2488287431298593,0.1970625865430959,0.2352171672644075,0.20670306882869452,0.32506527563920323,0.16821661053182382
R2,0.006379966328012077,0.6208223918156294,-0.048624533773378165,0.3612725212673301,0.011111639462429879,-0.05553701684555512,0.3578042868700022,0.033750494775726336,0.5505134443551912,0.5606381217575763,0.33805881128870474,-0.40647845202377986,0.20901017372626363,0.10466320135715657,-0.08924177115803311,-0.17347881330000559,0.22053157627196252,-0.6096357530222558,0.4762902432362529,-0.02030458368936694,0.22931207912957163,-0.5986485827290076,0.5130503518234288
RMSE,0.26166701568016176,0.18594027707205593,0.2721944551765855,0.23098400756104726,0.30864459960834056,0.30635929003877777,0.21402636853560514,0.24499220098496957,0.2156268141247883,0.2053292043174981,0.2593044770961757,0.2706339657530477,0.22092531787528175,0.2759888963333205,0.27299330577831876,0.3037430314802826,0.27278208936212683,0.2927894114381972,0.24207917202695126,0.28646550747256483,0.26603256596785496,0.35709813863801343,0.19976863032026404
