,label_hType_mix,label_num_intersect,label_bld_avg_age,label_emp_rat_num,label_LUM5_single,label_RNR_nres,label_mdist_smallparks,label_nig_rat_daily,label_nig_rat_daily3,label_mdist_nres_daily,label_num_community_places,label_num_community_places_poi,label_avg_block_area,label_sphi,label_enterprises_empl_size,label_emp_rat_pop,label_den_nres_daily,label_mdist_parks,label_den_nres_non-daily,label_mdist_railways,label_mdist_highways,label_mdist_water,label_activity_density
MAE,0.18872527198176578,0.11739396009203075,0.2066410210019531,0.13393023167969387,0.18101319900555699,0.30882236188713164,0.14124732763679476,0.18419699826875638,0.1498450367695312,0.15145093466801526,0.15997927919725996,0.21004158305860746,0.16139640766366362,0.18164466398982895,0.18314226998303385,0.19055220835538927,0.19439463771331733,0.23033537423364292,0.16367251858940496,0.21558071994509825,0.21151961909002584,0.2090856276475527,0.16798438507590768
R2,-0.031860156395593364,0.537963219162353,-0.19211693739170976,0.06709028615392554,0.0756978221069865,-1.6774549973441268,0.31536901658046834,-1.2143535156619656,-0.7544488241901777,0.400127728581143,0.38072452930131506,-0.08781925835061966,0.18503645848237638,0.047081586243341245,-0.33931612038332704,0.1102791436701287,0.3612010916926245,-0.08069812166334889,0.19095540948623402,-0.059036585725118496,-0.382583784633302,-0.36334794061546294,0.36023126360619984
RMSE,0.24692447009270502,0.1502158513755161,0.24627063744566108,0.17192200422829518,0.2136634285281573,0.33912418734143807,0.17073724333486048,0.23490639559541557,0.23872922443640518,0.19352813085733983,0.19812196682394478,0.26504235308542173,0.21249842872381725,0.21732294284732706,0.21966061508716858,0.23056397231239426,0.2300876537212118,0.278555253380392,0.21401423030112518,0.24686669742774114,0.25565216942701197,0.2637363196446243,0.20466181636277428
