,label_hType_mix,label_num_intersect,label_bld_avg_age,label_emp_rat_num,label_LUM5_single,label_RNR_nres,label_mdist_smallparks,label_nig_rat_daily,label_nig_rat_daily3,label_mdist_nres_daily,label_num_community_places,label_num_community_places_poi,label_avg_block_area,label_sphi,label_enterprises_empl_size,label_pop_rat_num,label_emp_rat_pop,label_den_nres_daily,label_mdist_parks,label_den_nres_non-daily,label_mdist_railways,label_mdist_highways,label_mdist_water,label_activity_density
MAE,0.189,0.154,0.169,0.143,0.200,0.228,0.196,0.165,0.135,0.158,0.160,0.186,0.154,0.179,0.196,0.144,0.171,0.188,0.217,0.144,0.205,0.200,0.231,0.156
R2,-0.044,0.364,0.268,0.304,0.100,-0.072,-0.352,-0.269,-1.023,0.386,0.356,-0.250,0.269,-0.077,-0.024,0.339,-0.092,0.316,-0.302,0.350,-0.096,-0.081,-0.471,0.316
RMSE,0.242,0.194,0.207,0.179,0.244,0.276,0.238,0.215,0.211,0.196,0.200,0.234,0.196,0.222,0.242,0.183,0.216,0.232,0.261,0.187,0.250,0.248,0.281,0.194
