,label_hType_mix,label_num_intersect,label_bld_avg_age,label_emp_rat_num,label_LUM5_single,label_RNR_nres,label_mdist_smallparks,label_nig_rat_daily,label_nig_rat_daily3,label_mdist_nres_daily,label_num_community_places,label_num_community_places_poi,label_avg_block_area,label_sphi,label_enterprises_empl_size,label_emp_rat_pop,label_den_nres_daily,label_mdist_parks,label_den_nres_non-daily,label_mdist_railways,label_mdist_highways,label_mdist_water,label_activity_density
MAE,0.2442239914891439,0.1025330468698163,0.15503497212310893,0.11195997629129144,0.19209174283255218,0.3233406154937704,0.1584295148311329,0.2401786795800422,0.19185753445895373,0.14912985068820486,0.16598618561196907,0.22721794413661944,0.15353552477167196,0.1607929693181153,0.19511455804500719,0.23986896627879392,0.18494079360749574,0.22561584401063978,0.17486437381832715,0.22385611127046026,0.1878078454459207,0.22766239521630635,0.1678387612138835
R2,-0.2968429283750149,0.6578954884733463,0.27425828123950113,0.337989612815772,-0.09594560433757526,-1.9687459808422352,0.10133431210611232,-2.1295467010070763,-0.7517088301170507,0.4373608862597911,0.40269134334750434,-0.1629335657375468,0.32584548889913423,0.17302861230482836,-0.37356982044306,-0.4793456159571212,0.4417726168066466,-0.06043899807138153,0.2066029276692396,-0.3683809428948521,-0.10209648232627089,-0.486452688219015,0.37091780913008887
RMSE,0.2768199576867808,0.12925783863728543,0.19215170826177524,0.14482517425189292,0.23265784673896334,0.35709535051104474,0.19561361113945347,0.27926215269219323,0.23854273502708645,0.18742592742581893,0.19457636962604033,0.2740402530784109,0.19327084941271452,0.20245241402232061,0.22245184767988152,0.2973030638098108,0.21508830695932485,0.27593195657071734,0.21193452905545504,0.2806147750330067,0.22825145835205374,0.275386174799595,0.2029453068687071
