,label_hType_mix,label_num_intersect,label_bld_avg_age,label_emp_rat_num,label_LUM5_single,label_RNR_nres,label_mdist_smallparks,label_nig_rat_daily,label_nig_rat_daily3,label_mdist_nres_daily,label_num_community_places,label_num_community_places_poi,label_avg_block_area,label_sphi,label_enterprises_empl_size,label_emp_rat_pop,label_den_nres_daily,label_mdist_parks,label_den_nres_non-daily,label_mdist_railways,label_mdist_highways,label_mdist_water,label_activity_density
MAE,0.19846219012855373,0.12242071840434172,0.2197367701922413,0.14988303523900867,0.1965841433422928,0.24974709191321595,0.1626970082650323,0.17702287645813722,0.11812050471396195,0.13800008817428153,0.13937109476414142,0.19227262759784364,0.15937738857109165,0.18474035326778065,0.2046223217592256,0.1871904089035849,0.16589412022605218,0.20270542789433352,0.14370061520129654,0.20850838685646242,0.21096694482423606,0.2078339650140546,0.15717832075782281
R2,-0.4747264128924542,0.45904455402471556,-0.24706070856090867,0.06575536229003365,-0.09474224670683418,-0.225881804979446,0.05725040553147376,-0.7786619408455882,-1.197651402359913,0.40481742163036927,0.32219857153848974,-0.4937396884611136,0.2067677321042155,-0.2707906685404189,-0.1856262889165523,-0.6890670546431974,0.4215317488279757,-0.3532463425863084,-0.039563295889166517,-0.1899151945429325,-0.48703444922975136,-0.4147037915025604,0.24765813109327373
RMSE,0.25401326377004585,0.16059238033463163,0.26823692198761967,0.1958366293819257,0.26037180848561253,0.297728462925103,0.20885874762561882,0.2338045533268366,0.1896597440243002,0.17704827578831267,0.18548149134664418,0.23747763400934932,0.1939032746686129,0.23013620858479814,0.2604814512159908,0.23078498355468952,0.2128124794511533,0.25707692801561194,0.2031921202216921,0.2500668842231622,0.2812823962400988,0.25416907624024154,0.19412061336527253
