,label_hType_mix,label_num_intersect,label_bld_avg_age,label_emp_rat_num,label_LUM5_single,label_RNR_nres,label_mdist_smallparks,label_nig_rat_daily,label_nig_rat_daily3,label_mdist_nres_daily,label_num_community_places,label_num_community_places_poi,label_avg_block_area,label_sphi,label_enterprises_empl_size,label_emp_rat_pop,label_den_nres_daily,label_mdist_parks,label_den_nres_non-daily,label_mdist_railways,label_mdist_highways,label_mdist_water,label_activity_density
MAE,0.336948830801709,0.1597055583459373,0.22324287503136106,0.1573468628258016,0.2543943405607828,0.26183667150389606,0.21998051624463846,0.19642569018111866,0.14221618714194226,0.14834006537552033,0.17397482844692702,0.2000714042588709,0.17924403426949367,0.19527635567652615,0.22149944307270916,0.18789405355992747,0.17372614914611878,0.18307143006501483,0.16127619614746638,0.22425200791604677,0.2155691260365691,0.2831146396817242,0.18866489395424577
R2,-2.1398917791320917,0.4835164200582026,-0.049011662934053124,0.4182076136978766,-0.626153551145544,-0.5152347459612454,0.28431122345568605,-0.03325464670195166,0.07506613057576539,0.4218287267649832,0.4391471981162104,-0.589190014108854,0.3441079556273313,-0.06611127101704439,-0.08935384012031866,-0.28266605008933254,0.39777422654943884,-0.09613019359609432,0.4309024016732743,0.055407325728694,-0.11478228211628605,-0.8331985609791788,0.28921617120085696
RMSE,0.3793832408467483,0.19130366792480918,0.2605636790186971,0.19328015612762917,0.3074313083835087,0.3202949479563941,0.2530984487982733,0.25047321478972845,0.23058810916421277,0.18549858733120006,0.21275257103501513,0.23945910919756308,0.21985003923837132,0.2556398924898898,0.2565007712361933,0.23645376273951918,0.2138493687248719,0.22258951080988018,0.20651375829735863,0.267766629988499,0.2711652970434422,0.3621774977726212,0.22887794734807085
