,label_hType_mix,label_num_intersect,label_bld_avg_age,label_emp_rat_num,label_LUM5_single,label_RNR_nres,label_mdist_smallparks,label_nig_rat_daily,label_nig_rat_daily3,label_mdist_nres_daily,label_num_community_places,label_num_community_places_poi,label_avg_block_area,label_sphi,label_enterprises_empl_size,label_emp_rat_pop,label_den_nres_daily,label_mdist_parks,label_den_nres_non-daily,label_mdist_railways,label_mdist_highways,label_mdist_water,label_activity_density
MAE,0.2539666443073833,0.11992458732996593,0.15739929673946307,0.13927140861457019,0.22394610908480006,0.23583060057273764,0.16826827191526003,0.18396371025652994,0.1272740069564688,0.12468420922498134,0.1342735831739277,0.1957064852219623,0.15349590424692014,0.19217919411386955,0.19350644770849668,0.186017611726122,0.1929662477917285,0.2205664797257857,0.15258627068876338,0.19907995320194863,0.2619675794733062,0.19894071520193352,0.15495920026983595
R2,-1.0661601112047072,0.5252019572081686,0.34173811536715804,0.2940845617747867,-0.1352996753399085,-0.06386863670752274,-0.00163527617636694,-0.7848066764502921,-1.2075528992486664,0.5642197475588173,0.42545672470618945,-0.46752226403675223,0.19961878561743196,-0.40051961036155226,0.060988101123363836,-0.5734826633189001,0.2835268498343765,-0.4795401590690678,0.04893276633314925,-0.1688902861755861,-1.099977413037791,-0.2864640063951598,0.3069125404314944
RMSE,0.3006648451899393,0.15045223605600377,0.19488307039489616,0.17023151286593113,0.2651510049056016,0.2773575923475532,0.21528278254668515,0.23420806690554602,0.1900865189174297,0.15149572209883055,0.1707696593818776,0.23538435980231845,0.19477508417526243,0.24159755927735435,0.23181334854032418,0.22274865112761136,0.2368412189445988,0.26880543743212565,0.19435110004288825,0.24784779103301338,0.3342638031222788,0.24237552993603934,0.18631939253388777
