,label_hType_mix,label_num_intersect,label_bld_avg_age,label_emp_rat_num,label_LUM5_single,label_RNR_nres,label_mdist_smallparks,label_nig_rat_daily,label_nig_rat_daily3,label_mdist_nres_daily,label_num_community_places,label_num_community_places_poi,label_avg_block_area,label_sphi,label_enterprises_empl_size,label_pop_rat_num,label_emp_rat_pop,label_den_nres_daily,label_mdist_parks,label_den_nres_non-daily,label_mdist_railways,label_mdist_highways,label_mdist_water,label_activity_density
MAE,0.3515161740018343,0.2539830686481692,0.2380025930677711,0.1996437418475938,0.21539510215019042,0.22186323531929505,0.23959644049311565,0.1981029925324149,0.1344739035394441,0.2012690417305161,0.23863720602972593,0.1597934932175024,0.19494612228742658,0.22693313088961908,0.202951223872207,0.21630704138804868,0.18550836184344005,0.19963428310130044,0.1896034477165249,0.2688780765264196,0.18944489662389621,0.21178972776300736,0.2399331176342027,0.18686370412993333
R2,-2.3911189416940015,-0.49231291863722215,-0.20257904267112847,0.12084386066443797,-0.10272349142305837,-0.002852408745424473,0.11696360500311953,-0.050862079771166746,0.15903249186753865,-0.004476881516747744,0.04208957118862111,-0.0894148330810971,0.22288771476932656,-0.15244327223956033,-0.10422485626118583,-0.18908048956725287,-0.31950642133912943,0.21053270856290196,-0.1359404089336489,-0.24765221638449209,0.25321726567193825,-0.04234675224261819,-0.32767681601412546,0.2655391920453051
RMSE,0.3942687115385366,0.3251808686008563,0.27898479529178094,0.2375944313604125,0.2531632315531639,0.260572535700708,0.281136142785099,0.25259832525511683,0.2198726318864798,0.2445019485623412,0.27804354746115206,0.19826227758617898,0.23930526473540184,0.26578908208786867,0.2582456116962862,0.2671848681630017,0.23982540332154526,0.2448473309724062,0.22659556168884742,0.30577528891780176,0.23808459755766548,0.2622075478054206,0.30822147605386924,0.2326588053172374
