,label_hType_mix,label_num_intersect,label_bld_avg_age,label_emp_rat_num,label_LUM5_single,label_RNR_nres,label_mdist_smallparks,label_nig_rat_daily,label_nig_rat_daily3,label_mdist_nres_daily,label_num_community_places,label_num_community_places_poi,label_avg_block_area,label_sphi,label_enterprises_empl_size,label_pop_rat_num,label_emp_rat_pop,label_den_nres_daily,label_mdist_parks,label_den_nres_non-daily,label_mdist_railways,label_mdist_highways,label_mdist_water,label_activity_density
MAE,0.31093123671327527,0.156045913373647,0.22227799567934267,0.17768738743631762,0.2596534886729074,0.2875603719268343,0.223114094294805,0.21528019840488563,0.11780368026916974,0.18172907767204188,0.164323083687166,0.1794839499583122,0.17902058981765798,0.19443370097430032,0.15721510625269405,0.15212696978251422,0.1780618273893847,0.1606220509155698,0.2903772223183988,0.15132510170400393,0.22080489997603467,0.195075276368281,0.28393594055488186,0.18686133065564162
R2,-1.1573003882503317,0.4927202486619515,0.12005146971098213,0.2053984237857518,-0.48664460697576817,-0.41509959848260136,-0.189388382090804,0.02170776275340336,0.2018841212493273,0.398716565157072,0.33586565551788927,-0.1434213296953868,0.3245120015246693,0.2667042393269585,0.1935045594011221,0.5558600726342846,0.22361902177504822,0.47227107429668924,-0.5786999856299813,0.28301796569871274,0.11787154993859439,0.032469466318641116,-0.6609139048226995,0.21367321269510253
RMSE,0.37474474289089404,0.18933786497011393,0.24018102469826613,0.22225893004399505,0.31229229792551494,0.3411790719657463,0.2597418442608836,0.24907881397900358,0.19909897498573545,0.22183708286884635,0.1930287106925281,0.24045084934281674,0.22571784108826246,0.2286730222520181,0.2050463543855399,0.1865378308135497,0.21831665627004265,0.18319898851797042,0.34354365371099116,0.20125764318032288,0.2862013056800992,0.23411836187960003,0.3376155906714728,0.22871947213040525
