,label_hType_mix,label_num_intersect,label_bld_avg_age,label_emp_rat_num,label_LUM5_single,label_RNR_nres,label_mdist_smallparks,label_nig_rat_daily,label_nig_rat_daily3,label_mdist_nres_daily,label_num_community_places,label_num_community_places_poi,label_avg_block_area,label_sphi,label_enterprises_empl_size,label_emp_rat_pop,label_den_nres_daily,label_mdist_parks,label_den_nres_non-daily,label_mdist_railways,label_mdist_highways,label_mdist_water,label_activity_density
MAE,0.2102064745437362,0.1742713480088253,0.2179814379148725,0.2198725541098157,0.21086819973663595,0.25320480306481136,0.15097907301489133,0.2524498048345039,0.2170169259148123,0.15969775906165284,0.21950864098803952,0.22119195969914035,0.13786441487430623,0.23690473099822726,0.27478736836720324,0.26894168466628143,0.20820888041188448,0.21859348739831605,0.21430187523362343,0.31371455545268584,0.23191779329838716,0.25705485119007876,0.19571001127787743
R2,0.020089042162215853,0.5369174138240086,0.055195891226057725,0.013276624630638056,0.2695426987365972,-0.1469297657844817,0.4885685067860006,-0.7128967298843834,-0.28788903060175497,0.587772838615097,0.28484864865637616,-0.3124094842784566,0.5828581914902919,-0.009556679395879453,-0.588100161278265,-0.6762123236722932,0.2934161637593027,-0.42234243482491673,0.23574771185966725,-0.9791932424318057,0.22757873200851964,-0.11690705367763887,0.3361200224684636
RMSE,0.2598556228815965,0.2054855832392474,0.258368850794194,0.28709248221326555,0.2652665365663565,0.31934692027071293,0.19099733849539602,0.3261919261314443,0.36499224341286424,0.19888766086427004,0.2695251486998425,0.2614270005952726,0.1604360273305167,0.29306485888840855,0.3296315697885271,0.3630222224397377,0.25971583966123574,0.2752286533848517,0.2924357520335994,0.3989803602428643,0.266331563643831,0.29848299912352133,0.23325450970121528
