,label_hType_mix,label_num_intersect,label_bld_avg_age,label_emp_rat_num,label_LUM5_single,label_RNR_nres,label_mdist_smallparks,label_nig_rat_daily,label_nig_rat_daily3,label_mdist_nres_daily,label_num_community_places,label_num_community_places_poi,label_avg_block_area,label_sphi,label_enterprises_empl_size,label_pop_rat_num,label_emp_rat_pop,label_den_nres_daily,label_mdist_parks,label_den_nres_non-daily,label_mdist_railways,label_mdist_highways,label_mdist_water,label_activity_density
MAE,0.19454365453193437,0.17424234004152753,0.22756725824519733,0.20052095198094633,0.2511836219900467,0.2633362916101917,0.20668500512653057,0.19417355564287317,0.15267846024080506,0.22102653000476372,0.2333178398730494,0.201550250057233,0.19964692588278649,0.23249194485320818,0.18257664112237945,0.1854920371833943,0.22315792925343167,0.2705379253279952,0.23668637178633087,0.24207261128365182,0.23008300320592223,0.23384373772498473,0.33298296099244085,0.1755369140230732
R2,0.2217789519659511,0.4848924321675556,-0.07986093471039579,0.3074957983286246,0.08715734847351675,0.020711184656118542,0.11087280318383308,0.034738490848519654,0.55075763956857,0.2955591282386034,0.349499616586328,-0.11080127596183664,0.11126131584763976,-0.015486483243088323,0.3028660635113415,0.42521148687462895,0.017576385561939856,-0.0650524155878387,-0.7592671107997073,0.23784749014633533,0.01579075184566392,0.0636366142124366,-0.6552974720437128,0.465975281200834
RMSE,0.23157426696629763,0.21672105073379028,0.2762187668224171,0.24051120724489172,0.29653981465705853,0.2950867555957635,0.25183467575372176,0.24486691593306129,0.21556823374154838,0.25999309326160436,0.25705383703210233,0.2405104467676121,0.2341785333970756,0.29392428203350385,0.21839765258663593,0.23085861221173587,0.27791890698394495,0.31886149579871786,0.30609585844724096,0.2920337430327167,0.2813527336618348,0.2932363053242122,0.3633700334399742,0.20920205377440115
