,label_hType_mix,label_num_intersect,label_bld_avg_age,label_emp_rat_num,label_LUM5_single,label_RNR_nres,label_mdist_smallparks,label_nig_rat_daily,label_nig_rat_daily3,label_mdist_nres_daily,label_num_community_places,label_num_community_places_poi,label_avg_block_area,label_sphi,label_enterprises_empl_size,label_emp_rat_pop,label_den_nres_daily,label_mdist_parks,label_den_nres_non-daily,label_mdist_railways,label_mdist_highways,label_mdist_water,label_activity_density
MAE,0.2446198908675087,0.12513539236393206,0.21232839431898803,0.17740124929160633,0.21467913225566795,0.27798655686259305,0.2040957838898382,0.21355547213986537,0.10508379303239974,0.17141262162444965,0.13028457636785154,0.16800684285356712,0.2272372164937666,0.1740527345127171,0.17272312156904412,0.16290279748902975,0.16812883288145575,0.25484850264176906,0.1612741092077227,0.261024567453112,0.21243593575386516,0.26193993501711654,0.20084620653758065
R2,-0.5130455477173339,0.6366028069624761,0.08923667777023181,0.2627040840983189,-0.06995737478680542,-0.3834008887036222,-0.09955200068752812,-0.045028085180891075,0.20935591488061667,0.4711797764204875,0.3372524690098798,-0.038139352401143745,0.015283170823226166,0.34150439990848214,-0.009242525887404485,0.3677316450569792,0.25690936264909847,-0.2664301410589289,0.12357038025625555,-0.016451605222619126,-0.13177794641640128,-0.6843324666957638,0.21603017203000818
RMSE,0.31383851431258175,0.16025238292673366,0.24435027072188822,0.21409445648911196,0.264935973571668,0.33733616616015866,0.24973991548025407,0.2574343329845496,0.19816482206489955,0.2080408184882855,0.19282706872390826,0.22911366776124747,0.27252901669017715,0.2166964433316468,0.22937646998979258,0.19701538914582137,0.21738947643693704,0.30769663501580685,0.2225137070564706,0.3072196918812194,0.25321168921608844,0.3399874163319438,0.22837642959664567
