,label_hType_mix,label_num_intersect,label_bld_avg_age,label_emp_rat_num,label_LUM5_single,label_RNR_nres,label_mdist_smallparks,label_nig_rat_daily,label_nig_rat_daily3,label_mdist_nres_daily,label_num_community_places,label_num_community_places_poi,label_avg_block_area,label_sphi,label_enterprises_empl_size,label_pop_rat_num,label_emp_rat_pop,label_den_nres_daily,label_mdist_parks,label_den_nres_non-daily,label_mdist_railways,label_mdist_highways,label_mdist_water,label_activity_density
MAE,0.2371973130494922,0.12812905338093017,0.1519035123971003,0.11552358000807436,0.19330169169638295,0.32348969947317413,0.1838831595335535,0.22813163640824624,0.19765736160120606,0.16105970079152948,0.1904250327291501,0.20298919411434194,0.1530773635249459,0.17223681053942583,0.20480223735020858,0.1541287522537051,0.2347176223400791,0.20889666535564902,0.23075855383568997,0.20337925355355727,0.21059538811645678,0.17360106661776564,0.21621831462818636,0.17973989440610683
R2,-0.2758875751535983,0.3988972062766466,0.3126257566345588,0.30588394956722254,-0.08792339749490741,-2.0319797364847423,-0.11169135340357239,-1.770896760102604,-0.8893794887392588,0.3094813395853828,0.21574397244751808,0.03387304698042248,0.3305144573524702,0.06907987791148662,-0.6672302121949447,0.32376648142428865,-0.3523668198394623,0.2501136996393005,-0.05111243027767509,0.011768924288018567,-0.1438331053280557,0.04261346876585137,-0.4157139576235289,0.22369306735382222
RMSE,0.27457431760922413,0.1713372776262008,0.1870035420528547,0.1482954073536738,0.23180476724414228,0.3608783457533364,0.21756653958475386,0.26277348175339676,0.24773925824163845,0.2076358872632531,0.22295623620086613,0.2497778978149025,0.1926004220066486,0.21479982671412268,0.24508031683008064,0.1975895220180277,0.2842574224598961,0.24929234486363516,0.27471586511802754,0.2365296970792065,0.25655965107602846,0.2127391450747551,0.26875363386515677,0.22544574846238027
