,label_hType_mix,label_num_intersect,label_bld_avg_age,label_emp_rat_num,label_LUM5_single,label_RNR_nres,label_mdist_smallparks,label_nig_rat_daily,label_nig_rat_daily3,label_mdist_nres_daily,label_num_community_places,label_num_community_places_poi,label_avg_block_area,label_sphi,label_enterprises_empl_size,label_emp_rat_pop,label_den_nres_daily,label_mdist_parks,label_den_nres_non-daily,label_mdist_railways,label_mdist_highways,label_mdist_water,label_activity_density
MAE,0.20894548324219914,0.15079547282922656,0.16876117740130153,0.11434355927968995,0.17639492720893388,0.22382372047476573,0.19867273177102673,0.15348373460376305,0.1509603120886777,0.13954161320597583,0.14261932512602946,0.1688668575224959,0.14944660527349454,0.1760698324681068,0.16773411480806044,0.14192574901681715,0.1840167927579904,0.2655880516213965,0.12092934667591138,0.19773947462679822,0.21474595087655,0.21781625651324774,0.13993920548483357
R2,-0.0648524748174788,0.5546063081559083,0.12470916095993734,0.48268959224456454,0.40672740043485267,-0.11753786367898744,-0.9560277724266166,-0.09351106114521102,0.04820449467378829,0.5370276835317465,0.5026691499697731,-0.06835571118935335,0.2523635802943981,-0.41559910931426214,0.12355417606681007,0.019807421222392985,0.33331402338546423,-0.8817641243243417,0.5809255071700425,-0.2568043676905505,-0.18279656781765952,-0.1818479818942218,0.3370512683080332
RMSE,0.26733363284325845,0.17908146325900068,0.22140428904686246,0.1515353837406548,0.21124030136339275,0.2604139185542327,0.2456184529681059,0.2067845315876123,0.25168288041728076,0.17380465272782916,0.17831160892419934,0.21363542309886435,0.1857670678285197,0.20986979158946706,0.21051832513250562,0.1813342377504752,0.22284734016725607,0.31438420514181115,0.16150486564359015,0.2496748085868962,0.2609113565720285,0.26650626223074514,0.17272381796994055
