,label_hType_mix,label_num_intersect,label_bld_avg_age,label_emp_rat_num,label_LUM5_single,label_RNR_nres,label_mdist_smallparks,label_nig_rat_daily,label_nig_rat_daily3,label_mdist_nres_daily,label_num_community_places,label_num_community_places_poi,label_avg_block_area,label_sphi,label_enterprises_empl_size,label_emp_rat_pop,label_den_nres_daily,label_mdist_parks,label_den_nres_non-daily,label_mdist_railways,label_mdist_highways,label_mdist_water,label_activity_density
MAE,0.2745808700396906,0.15232239807809173,0.21782200140650812,0.15287244900136257,0.23644131991848222,0.2600012521005149,0.21630729413688543,0.24319639785474395,0.12455071696622352,0.1516526564182812,0.16853248264990006,0.15351603451433465,0.15776310845687555,0.19431382756888518,0.19454697897672263,0.1859367819820095,0.18559827214141933,0.18164122624998089,0.2312946203677792,0.21009675030114952,0.19613405752744745,0.26011209757323556,0.16305883387472703
R2,-1.133167592031064,0.5366004680386945,-0.09594825477337321,0.4871190279124129,-0.5040948823678657,-0.4514406709740759,0.2737773790217466,-0.4147627767763473,0.21567744046780934,0.41745732468703545,0.48678143307723787,-0.016725799331493096,0.469919151586613,-0.028568819816533253,-0.06545535697475091,-0.24909862312539888,0.3299537865360399,-0.15076727118592315,0.01947329277789367,0.18472725678793978,0.03662831030078484,-0.3831044161847743,0.4992932713722943
RMSE,0.31270389500334034,0.1812061081385474,0.26632917510038223,0.1814728018260886,0.295668415719376,0.31347995258421274,0.2549542561575036,0.29308893227761323,0.21233858556242918,0.1861985200196488,0.20351740197730736,0.19153377605451566,0.19764299332459878,0.2510984525623487,0.2536715833002465,0.2333392482183883,0.22556965856478228,0.22806958664585178,0.2710724166787191,0.24876290951955804,0.2520786242949296,0.31458947895622297,0.19209979193029028
