,label_hType_mix,label_num_intersect,label_bld_avg_age,label_emp_rat_num,label_LUM5_single,label_RNR_nres,label_mdist_smallparks,label_nig_rat_daily,label_nig_rat_daily3,label_mdist_nres_daily,label_num_community_places,label_num_community_places_poi,label_avg_block_area,label_sphi,label_enterprises_empl_size,label_emp_rat_pop,label_den_nres_daily,label_mdist_parks,label_den_nres_non-daily,label_mdist_railways,label_mdist_highways,label_mdist_water,label_activity_density
MAE,0.1767371131020484,0.1535213563183898,0.23969387837043368,0.21113933024500953,0.2590259026524281,0.26082777584935674,0.1858603787382824,0.18701870727965267,0.1773300362155414,0.20552652668223922,0.20279408966922913,0.22028735886832124,0.18488671360975167,0.22978528863082934,0.20210507813702955,0.23343005140296796,0.24884152324738015,0.1978156085596172,0.19461164895742183,0.25433778414469194,0.23637405367738037,0.2911757087568694,0.18658877291273707
R2,0.2746896976768034,0.6185571257653353,-0.1608791164434753,0.24119618575732427,0.13623390841769834,-0.1632917365785278,0.31459662873942285,-0.0036055545887425655,0.41450356307551095,0.4110220626003175,0.4883562782580657,-0.36992845160243193,0.1970591149905313,0.028903383793238868,0.07982198292236697,-0.18311950853000303,0.16926247627455826,-0.08949025729115068,0.5001730535061523,-0.18111901601820013,0.1404703482938966,-0.44142127919185725,0.3855374850340134
RMSE,0.2235634148878032,0.1864948680806434,0.28639324226514173,0.2517612374332053,0.2884583569587737,0.3216167372886726,0.22110914221049324,0.2496830985504382,0.24609712568909084,0.23773277046481123,0.22797337944375284,0.2670943509763058,0.222588040305198,0.2874283573537432,0.25091451233527307,0.3049881771972117,0.28161027846426195,0.24088138364663225,0.23649497959084273,0.30821533951056507,0.28094800914561957,0.3390834143040008,0.22440522297572899
