,label_hType_mix,label_num_intersect,label_bld_avg_age,label_emp_rat_num,label_LUM5_single,label_RNR_nres,label_mdist_smallparks,label_nig_rat_daily,label_nig_rat_daily3,label_mdist_nres_daily,label_num_community_places,label_num_community_places_poi,label_avg_block_area,label_sphi,label_enterprises_empl_size,label_emp_rat_pop,label_den_nres_daily,label_mdist_parks,label_den_nres_non-daily,label_mdist_railways,label_mdist_highways,label_mdist_water,label_activity_density
MAE,0.25600423063763283,0.15812096968818432,0.2290298636662034,0.1697104955434922,0.24027021855682798,0.2482197790731165,0.23219153771752943,0.2372904964072195,0.09707872692345329,0.16383689739709467,0.15869828947626816,0.23253713426354541,0.1871069523456692,0.1632059514640239,0.18232631668316446,0.16895229228211173,0.16296068787056814,0.24835580625739623,0.18019956478096982,0.27152540589520985,0.21095371712871497,0.2691686882540472,0.20171936444681288
R2,-0.5236680773697635,0.38949124182937334,0.016711869998085715,0.3011341148830535,-0.16806476415891392,-0.17534459717359718,-0.22508211962207447,-0.15241874173551584,0.16410637305607434,0.5495981493640352,0.2882608747003549,-0.48147058114050667,0.3323666276296121,0.4009161510188609,0.047744958018042016,0.30920896456649694,0.3985105398908345,-0.16084841719272225,0.02382061832078608,-0.22785831107335075,-0.13016171725927417,-0.5826663997646733,0.16943249959891604
RMSE,0.3149382591647226,0.20771107873436484,0.2538928417006758,0.20844017482349736,0.2768159785164797,0.31093634365646866,0.263610481562136,0.2703383393699586,0.2037565392076832,0.19199707354870668,0.1998270882791393,0.2736967791184992,0.22440167161156144,0.20668985005775312,0.22280643732850258,0.20593149595869711,0.19558323837211533,0.2945912780034766,0.2348351276537231,0.33766016109255254,0.25303082585553766,0.3295669283640345,0.23506559630139404
