,label_hType_mix,label_num_intersect,label_bld_avg_age,label_emp_rat_num,label_LUM5_single,label_RNR_nres,label_mdist_smallparks,label_nig_rat_daily,label_nig_rat_daily3,label_mdist_nres_daily,label_num_community_places,label_num_community_places_poi,label_avg_block_area,label_sphi,label_enterprises_empl_size,label_pop_rat_num,label_emp_rat_pop,label_den_nres_daily,label_mdist_parks,label_den_nres_non-daily,label_mdist_railways,label_mdist_highways,label_mdist_water,label_activity_density
MAE,0.209,0.151,0.169,0.133,0.202,0.235,0.186,0.167,0.130,0.153,0.156,0.186,0.165,0.175,0.205,0.145,0.164,0.182,0.214,0.139,0.199,0.206,0.225,0.153
R2,-0.276,0.397,0.265,0.381,0.050,-0.136,-0.266,-0.324,-0.584,0.396,0.408,-0.191,0.198,-0.042,-0.079,0.339,0.004,0.345,-0.285,0.410,-0.076,-0.143,-0.384,0.351
RMSE,0.265,0.189,0.207,0.169,0.250,0.284,0.227,0.219,0.203,0.194,0.192,0.230,0.206,0.217,0.247,0.182,0.205,0.226,0.261,0.179,0.247,0.256,0.274,0.190
