,label_hType_mix,label_num_intersect,label_bld_avg_age,label_emp_rat_num,label_LUM5_single,label_RNR_nres,label_mdist_smallparks,label_nig_rat_daily,label_nig_rat_daily3,label_mdist_nres_daily,label_num_community_places,label_num_community_places_poi,label_avg_block_area,label_sphi,label_enterprises_empl_size,label_emp_rat_pop,label_den_nres_daily,label_mdist_parks,label_den_nres_non-daily,label_mdist_railways,label_mdist_highways,label_mdist_water,label_activity_density
MAE,0.2182556064410347,0.16643068786402018,0.20546795137907148,0.15400477839046461,0.21687688467612418,0.20819165968040426,0.19881848211929737,0.18379374043893604,0.20511886356125636,0.16694059368455122,0.16674231084101296,0.1928420838766614,0.16373713222479486,0.21047285453063716,0.18173463220026473,0.16724463700958478,0.18696565307594135,0.25492474242386276,0.1631767978671737,0.2041924310403727,0.21854988475559436,0.2313428099642055,0.16054710745929462
R2,-0.15044557473760034,0.38357093908439854,-0.10393873473342796,0.030723935284096227,0.06702308390959721,-0.03347269109283335,-0.9897323255522199,-0.5364078995017252,-0.541185460136838,0.3287298246099495,0.2833592064785868,-0.33629339035398176,0.050563815408700474,-1.0620457713558134,-0.03472375008330153,-0.34898119931280536,0.2837800398251141,-0.7945304472550947,0.14508514917021853,-0.2468701223588703,-0.3353145815375842,-0.39173060573685015,0.0761413877383067
RMSE,0.2778701636149451,0.2106784700596276,0.24864648503665354,0.20742552084293947,0.26490190546544085,0.2504278194024314,0.24772555556153403,0.24510926292144677,0.32026486933768794,0.20928233042373715,0.21404627867591347,0.23892755410889682,0.2093420107786538,0.2532963557126106,0.2287386622773744,0.21272917435477454,0.23097767468568553,0.30701072136486773,0.2306754770522824,0.2486860900180995,0.2772233139301108,0.28920393534769084,0.20389896114922842
