,label_hType_mix,label_num_intersect,label_bld_avg_age,label_emp_rat_num,label_LUM5_single,label_RNR_nres,label_mdist_smallparks,label_nig_rat_daily,label_nig_rat_daily3,label_mdist_nres_daily,label_num_community_places,label_num_community_places_poi,label_avg_block_area,label_sphi,label_enterprises_empl_size,label_pop_rat_num,label_emp_rat_pop,label_den_nres_daily,label_mdist_parks,label_den_nres_non-daily,label_mdist_railways,label_mdist_highways,label_mdist_water,label_activity_density
MAE,0.2723470739898058,0.12757282762467226,0.19951728986240438,0.15003001313272415,0.23883854634530147,0.25237376456909255,0.1729537212132841,0.20386665056297493,0.12151506148843967,0.18124740530056185,0.14977060200350611,0.19839516522529227,0.20349278698621578,0.1838689450862538,0.15863123337740775,0.15872881372154998,0.16302082518117006,0.17713378374081992,0.25128372018396666,0.1333097668272502,0.22655108801066715,0.21326722754296543,0.2654548158485327,0.17852911121275522
R2,-0.6072226135052641,0.6558620830038671,0.16745007694407665,0.33129307267774544,-0.4658707726146578,-0.21168188323054982,0.16827524521683268,0.05935049143438342,0.1259716567122472,0.3936412931012647,0.36792105639167794,-0.24686598589029307,0.017837252289228167,0.2856732117207944,0.34053994899273043,0.5641405701766484,0.2923640119017449,0.3278585393634772,-0.23024054400100114,0.3991796965591461,0.06911073866410011,-0.13566709589597692,-0.6301721438711756,0.3252498034654657
RMSE,0.32345826699421015,0.15594805938193734,0.23362278710111897,0.2038930485273771,0.31010269198138946,0.3157062552785869,0.2172050346647669,0.24423978099554328,0.20835254355713498,0.22277134917037034,0.1883126962322212,0.25109210618427624,0.2721753549960405,0.22569597448284168,0.18541520251699764,0.18479075368730435,0.20842719492075273,0.2067511646206501,0.3032683898870498,0.18423432435007875,0.29400499329013063,0.2536463741116991,0.33447654384328185,0.21187177964185722
