,label_hType_mix,label_num_intersect,label_bld_avg_age,label_emp_rat_num,label_LUM5_single,label_RNR_nres,label_mdist_smallparks,label_nig_rat_daily,label_nig_rat_daily3,label_mdist_nres_daily,label_num_community_places,label_num_community_places_poi,label_avg_block_area,label_sphi,label_enterprises_empl_size,label_pop_rat_num,label_emp_rat_pop,label_den_nres_daily,label_mdist_parks,label_den_nres_non-daily,label_mdist_railways,label_mdist_highways,label_mdist_water,label_activity_density
MAE,0.2238275410729867,0.14583624229003642,0.1603385931536774,0.1620736244435762,0.221396005955549,0.2477771205179697,0.18284291927703042,0.18983365237656946,0.11199851826721814,0.14430642356204212,0.1537901171265477,0.18990190758223321,0.1425610955539757,0.17080902509323986,0.20377889233780278,0.1363130238321631,0.201941395468469,0.1796287491845351,0.19643697650928812,0.1451903754506352,0.1942423372681763,0.24405982900527207,0.2067214222532982,0.16113467382320862
R2,-0.5576243720759799,0.2598994151003434,0.32063439327161525,-0.025679664713066375,-0.14552059242832116,-0.2129835728636884,-0.10243405079112344,-0.838800051711253,-1.0054889998804724,0.4021748749163361,0.2984540211443306,-0.448088996299989,0.2981118528608734,-0.04383078945261154,-0.09733780176309037,0.16901876664470405,-0.8388995740979033,0.393687596406577,-0.19725993328303937,0.12474163433159735,-0.092183817416442,-0.8336203617633546,-0.4333770753613575,0.23488736665340815
RMSE,0.26105500999960624,0.18784064048902288,0.19798237842363361,0.20519628388968625,0.2663418861253649,0.29615803195872803,0.22585556806878188,0.2377242644249035,0.181178183009378,0.17744087815593312,0.1887023936304768,0.2338206588817193,0.18239751263820028,0.20857535760432508,0.2505953815716207,0.17279864538475234,0.24080367346982703,0.21787407389948138,0.24180701452643125,0.18644447943274464,0.23957750981486264,0.31234657623936135,0.25584102063093594,0.195761248248888
