,label_hType_mix,label_num_intersect,label_bld_avg_age,label_emp_rat_num,label_LUM5_single,label_RNR_nres,label_mdist_smallparks,label_nig_rat_daily,label_nig_rat_daily3,label_mdist_nres_daily,label_num_community_places,label_num_community_places_poi,label_avg_block_area,label_sphi,label_enterprises_empl_size,label_pop_rat_num,label_emp_rat_pop,label_den_nres_daily,label_mdist_parks,label_den_nres_non-daily,label_mdist_railways,label_mdist_highways,label_mdist_water,label_activity_density
MAE,0.21803164725210397,0.13256128745789394,0.18660002226473366,0.1293869479758675,0.19474584496704353,0.31186410520860225,0.18184958463856948,0.2525210577039374,0.2138571449902719,0.1578840355284251,0.2014931844647607,0.2011952399528556,0.15041131624913104,0.17419060420242563,0.2551530143838507,0.14984914360738488,0.22977138623470642,0.21375949663950813,0.22722495032395945,0.19902977232607783,0.21107537760988968,0.2130205450862744,0.2064749903729642,0.1646185058801222
R2,-0.1987854733130865,0.41491206840884953,0.06563164420646317,0.17591220021656673,-0.17924309909081115,-2.050354657700988,-0.14722010507845806,-2.1331383779808157,-1.3117660900153734,0.3140695170671286,0.058036845640556556,0.021450300389156296,0.33149044788054016,0.014524764810391888,-1.260391250931014,0.33072618261392084,-0.34164055442175156,0.1571855043239937,-0.08248295715118958,0.023185948858746253,-0.13315342078146464,-0.2971392635718313,-0.3372522913401188,0.35432005321289195
RMSE,0.2661487584775125,0.16903944532887505,0.21802799761057667,0.16158401686274204,0.2413375371940181,0.3619702222380109,0.221015822104794,0.279422356696358,0.274035722131697,0.20694491528086725,0.24434735899104199,0.2513786276910206,0.19245998227007172,0.22100422448184115,0.2853661500574683,0.19657011040332745,0.2831278877731341,0.26428787016868227,0.27878518354427867,0.23515941515571165,0.2553591255014734,0.24762646367653196,0.2612000547182779,0.20560513955679205
