,label_hType_mix,label_num_intersect,label_bld_avg_age,label_emp_rat_num,label_LUM5_single,label_RNR_nres,label_mdist_smallparks,label_nig_rat_daily,label_nig_rat_daily3,label_mdist_nres_daily,label_num_community_places,label_num_community_places_poi,label_avg_block_area,label_sphi,label_enterprises_empl_size,label_emp_rat_pop,label_den_nres_daily,label_mdist_parks,label_den_nres_non-daily,label_mdist_railways,label_mdist_highways,label_mdist_water,label_activity_density
MAE,0.24776025982477526,0.11419180395587335,0.16821198708296878,0.16155765274171213,0.20747294523043375,0.22912145646133397,0.18189635622834655,0.18877915141709703,0.11436381144815978,0.12683369185778065,0.15045533047513668,0.20716697653159333,0.14041444436049752,0.15861547406191698,0.19259892795045894,0.19806104757503887,0.1642567367325443,0.20490115710495055,0.14570757543065613,0.195288766625218,0.24056636796929232,0.19410011158330928,0.1589080462069464
R2,-1.001923552664314,0.5637356250620315,0.21968856275530146,-0.032152511472246736,-0.06901388428403976,-0.002813813288174538,-0.11604968815334527,-0.8528983566333763,-1.2133084503962284,0.5355859128189748,0.3012672667234143,-0.6025596643646602,0.3349099060846511,0.047783125471285715,0.035187521266264454,-0.7498299195136122,0.40251994234765365,-0.3260690060998648,0.10863562114306902,-0.14509478682349397,-0.783025584222101,-0.24499341115830475,0.2615689723142315
RMSE,0.29595413342189003,0.14421786494161773,0.21218210088518355,0.20584274068774633,0.2572940205876617,0.2692813088324318,0.2272460053072662,0.238633854776034,0.1903341552265389,0.15639371240236444,0.18832365904820775,0.24597578601598014,0.17755184802925583,0.19921217729726376,0.23497645559299082,0.23489946126438288,0.2162813316014521,0.2544823888320412,0.18815208298441757,0.24531205835583322,0.3080071695066343,0.2384369063228729,0.19231758973849827
