,label_hType_mix,label_num_intersect,label_bld_avg_age,label_emp_rat_num,label_LUM5_single,label_RNR_nres,label_mdist_smallparks,label_nig_rat_daily,label_nig_rat_daily3,label_mdist_nres_daily,label_num_community_places,label_num_community_places_poi,label_avg_block_area,label_sphi,label_enterprises_empl_size,label_emp_rat_pop,label_den_nres_daily,label_mdist_parks,label_den_nres_non-daily,label_mdist_railways,label_mdist_highways,label_mdist_water,label_activity_density
MAE,0.2203759255396391,0.16137674596831952,0.2873884197147107,0.21307700271369162,0.1611475486953792,0.2914602464378827,0.20252009612358082,0.2155743990960916,0.10553844504485181,0.20085372604569168,0.17385167596033554,0.22380315530623815,0.21349705159901258,0.19548975634929666,0.22295462032943597,0.2248453168746475,0.17788943471394753,0.1971210391292631,0.17154397536243454,0.2710549789198888,0.21843365741124748,0.21474402783625726,0.22680556609584232
R2,-0.48016703304532693,0.3251882269365066,-0.7201854251593409,-0.13819366605901018,0.4147852317832369,-0.606426013474372,0.0763791333556636,-0.37796680013118533,-0.13050317227149644,0.24433270838312116,-0.026346787713835695,-0.5802765734849908,0.1527381604526984,0.10649634301181399,-0.5236748932013646,-0.3588850094288436,0.08801677815848064,0.29040569761865953,-0.20830763613148906,-0.15984645671581377,-0.3006980563936279,-0.1737629476805147,-0.17674270589737318
RMSE,0.31040992711383153,0.21837606568210968,0.33581314343243696,0.2660067091636635,0.19593649372702135,0.36351241159195125,0.22889006467635836,0.29561186571443127,0.236958308587422,0.24869086809083807,0.23996118823046955,0.2826765106667492,0.2527934938414223,0.25241985428343994,0.28183650824725004,0.2888289901170507,0.24083025534054137,0.23032293577365634,0.2612684723199202,0.32817534181747154,0.2714509604279392,0.2838174744198395,0.2797965544931473
