,label_hType_mix,label_num_intersect,label_bld_avg_age,label_emp_rat_num,label_LUM5_single,label_RNR_nres,label_mdist_smallparks,label_nig_rat_daily,label_nig_rat_daily3,label_mdist_nres_daily,label_num_community_places,label_num_community_places_poi,label_avg_block_area,label_sphi,label_enterprises_empl_size,label_pop_rat_num,label_emp_rat_pop,label_den_nres_daily,label_mdist_parks,label_den_nres_non-daily,label_mdist_railways,label_mdist_highways,label_mdist_water,label_activity_density
MAE,0.22106646672145316,0.1388237630170391,0.16249679760935448,0.11682734388165752,0.18835345763933115,0.20233158832708267,0.2163719569582324,0.160922257492496,0.1419464995552536,0.15637517363030332,0.15019343910304955,0.16646874270586554,0.14548137466753736,0.1825286647671119,0.18129128422856366,0.13028353514423158,0.1514828288792541,0.15067561431353327,0.24475090953074835,0.1351539802162258,0.1865935730986635,0.21494715733158176,0.22661143426122507,0.1561456535467573
R2,-0.05652627574735636,0.6272098608101625,0.20422545772335365,0.49069822119720674,0.32723121749184536,0.022053193935379634,-1.3238279932878303,-0.12936497204531316,0.08936507188249021,0.44968726610372267,0.450040948618481,-0.0737018511625187,0.3163739797050207,-0.5570306848709303,-0.011958492933002773,0.5565068535505122,-0.1065853558931058,0.5066662604137855,-0.6228396920780284,0.4805461136568987,-0.11490811452236493,-0.18036443741662933,-0.19909512787752037,0.22916309193683115
RMSE,0.2662864261742074,0.16383655652108542,0.21110808148679613,0.1503578273433422,0.22494821362334663,0.24360751725959054,0.26771670597297537,0.21014720351551258,0.24618070034356107,0.1894910349797908,0.18750899057198317,0.21416928069201357,0.1776367398207768,0.22010422372776361,0.22620839478135893,0.1592184965334946,0.19267109488805814,0.19169783319642605,0.2919550132818796,0.17980985742995442,0.2351583602006386,0.2606429684971401,0.26844383128812593,0.18624881043468927
