,label_hType_mix,label_num_intersect,label_bld_avg_age,label_emp_rat_num,label_LUM5_single,label_RNR_nres,label_mdist_smallparks,label_nig_rat_daily,label_nig_rat_daily3,label_mdist_nres_daily,label_num_community_places,label_num_community_places_poi,label_avg_block_area,label_sphi,label_enterprises_empl_size,label_pop_rat_num,label_emp_rat_pop,label_bld_rat_area,label_den_nres_daily,label_mdist_parks,label_den_nres_non-daily,label_mdist_railways,label_mdist_highways,label_mdist_water
Accuracy,0.493,0.600,0.563,0.586,0.583,0.544,0.483,0.514,0.621,0.592,0.607,0.514,0.547,0.566,0.524,0.556,0.490,0.666,0.617,0.488,0.662,0.549,0.592,0.532
Precision,0.491,0.618,0.572,0.606,0.570,0.532,0.491,0.520,0.626,0.637,0.615,0.524,0.532,0.577,0.540,0.546,0.497,0.694,0.627,0.496,0.662,0.566,0.586,0.526
Recall,0.105,0.128,0.106,0.120,0.113,0.150,0.095,0.058,0.099,0.113,0.113,0.111,0.108,0.062,0.126,0.110,0.133,0.181,0.138,0.199,0.144,0.206,0.158,0.103
AUC,0.522,0.666,0.584,0.650,0.633,0.517,0.505,0.561,0.707,0.695,0.658,0.538,0.591,0.549,0.531,0.595,0.495,0.738,0.716,0.532,0.764,0.588,0.643,0.532
