,label_hType_mix,label_num_intersect,label_bld_avg_age,label_emp_rat_num,label_LUM5_single,label_RNR_nres,label_mdist_smallparks,label_nig_rat_daily,label_nig_rat_daily3,label_mdist_nres_daily,label_num_community_places,label_num_community_places_poi,label_avg_block_area,label_sphi,label_enterprises_empl_size,label_pop_rat_num,label_emp_rat_pop,label_den_nres_daily,label_mdist_parks,label_den_nres_non-daily,label_mdist_railways,label_mdist_highways,label_mdist_water,label_activity_density
Accuracy,0.628,0.713,0.612,0.702,0.513,0.563,0.590,0.569,0.634,0.708,0.711,0.546,0.735,0.594,0.629,0.707,0.591,0.698,0.523,0.683,0.594,0.631,0.618,0.672
Precision,0.624,0.747,0.622,0.717,0.512,0.558,0.595,0.576,0.664,0.729,0.758,0.551,0.714,0.609,0.634,0.750,0.579,0.735,0.521,0.735,0.591,0.628,0.621,0.701
Recall,0.660,0.648,0.590,0.673,0.602,0.630,0.600,0.524,0.548,0.665,0.623,0.502,0.789,0.551,0.624,0.624,0.661,0.623,0.537,0.575,0.620,0.651,0.622,0.597
AUC,0.671,0.795,0.643,0.759,0.524,0.582,0.636,0.563,0.676,0.786,0.765,0.544,0.812,0.642,0.643,0.766,0.616,0.776,0.521,0.756,0.653,0.674,0.625,0.728
