,label_hType_mix,label_num_intersect,label_bld_avg_age,label_emp_rat_num,label_LUM5_single,label_RNR_nres,label_mdist_smallparks,label_nig_rat_daily,label_nig_rat_daily3,label_mdist_nres_daily,label_num_community_places,label_num_community_places_poi,label_avg_block_area,label_sphi,label_enterprises_empl_size,label_pop_rat_num,label_emp_rat_pop,label_den_nres_daily,label_mdist_parks,label_den_nres_non-daily,label_mdist_railways,label_mdist_highways,label_mdist_water,label_activity_density
AUC,0.622,0.774,0.600,0.728,0.509,0.563,0.590,0.555,0.646,0.773,0.726,0.527,0.795,0.625,0.654,0.751,0.600,0.739,0.529,0.745,0.617,0.675,0.598,0.697
Accuracy,0.581,0.697,0.555,0.670,0.492,0.561,0.563,0.564,0.592,0.712,0.674,0.526,0.725,0.601,0.614,0.689,0.570,0.680,0.534,0.677,0.573,0.640,0.563,0.661
Precision,0.577,0.721,0.555,0.666,0.492,0.555,0.561,0.566,0.601,0.718,0.692,0.525,0.718,0.603,0.618,0.702,0.568,0.703,0.532,0.696,0.570,0.643,0.561,0.679
Recall,0.611,0.647,0.590,0.682,0.546,0.638,0.614,0.557,0.562,0.699,0.624,0.546,0.742,0.610,0.614,0.659,0.597,0.633,0.562,0.630,0.601,0.660,0.582,0.609
