,label_hType_mix,label_num_intersect,label_bld_avg_age,label_emp_rat_num,label_LUM5_single,label_RNR_nres,label_mdist_smallparks,label_nig_rat_daily,label_nig_rat_daily3,label_mdist_nres_daily,label_num_community_places,label_num_community_places_poi,label_avg_block_area,label_sphi,label_enterprises_empl_size,label_pop_rat_num,label_emp_rat_pop,label_den_nres_daily,label_mdist_parks,label_den_nres_non-daily,label_mdist_railways,label_mdist_highways,label_mdist_water,label_activity_density
AUC,0.638,0.780,0.614,0.723,0.607,0.540,0.611,0.557,0.670,0.788,0.760,0.504,0.790,0.621,0.623,0.773,0.589,0.797,0.486,0.739,0.626,0.644,0.600,0.729
Accuracy,0.593,0.731,0.582,0.663,0.569,0.539,0.589,0.534,0.624,0.710,0.704,0.528,0.732,0.571,0.582,0.703,0.573,0.737,0.492,0.681,0.600,0.605,0.553,0.673
Precision,0.588,0.741,0.582,0.656,0.568,0.535,0.584,0.534,0.621,0.716,0.710,0.527,0.738,0.570,0.585,0.718,0.571,0.758,0.493,0.696,0.598,0.602,0.550,0.685
Recall,0.619,0.711,0.599,0.688,0.608,0.583,0.621,0.549,0.633,0.699,0.688,0.539,0.718,0.571,0.598,0.668,0.582,0.701,0.540,0.650,0.625,0.628,0.582,0.643
