,label_hType_mix,label_num_intersect,label_bld_avg_age,label_emp_rat_num,label_LUM5_single,label_RNR_nres,label_mdist_smallparks,label_nig_rat_daily,label_nig_rat_daily3,label_mdist_nres_daily,label_num_community_places,label_num_community_places_poi,label_avg_block_area,label_sphi,label_enterprises_empl_size,label_pop_rat_num,label_emp_rat_pop,label_bld_rat_area,label_den_nres_daily,label_mdist_parks,label_den_nres_non-daily,label_mdist_railways,label_mdist_highways,label_mdist_water
AUC,0.675,0.814,0.627,0.730,0.864,0.492,0.631,0.478,0.767,0.804,0.846,0.451,0.802,0.641,0.504,0.755,0.568,0.806,0.846,0.579,0.798,0.525,0.654,0.645
Accuracy,0.621,0.728,0.591,0.649,0.778,0.484,0.621,0.505,0.692,0.727,0.789,0.475,0.743,0.606,0.518,0.697,0.559,0.748,0.789,0.576,0.753,0.533,0.598,0.596
Precision,0.623,0.714,0.585,0.645,0.836,0.487,0.628,0.505,0.701,0.731,0.788,0.479,0.758,0.607,0.516,0.697,0.565,0.733,0.788,0.572,0.770,0.534,0.597,0.602
Recall,0.622,0.759,0.625,0.670,0.719,0.521,0.613,0.536,0.666,0.723,0.792,0.466,0.758,0.635,0.576,0.697,0.516,0.786,0.792,0.612,0.720,0.545,0.616,0.579
