,label_hType_mix,label_num_intersect,label_bld_avg_age,label_emp_rat_num,label_LUM5_single,label_RNR_nres,label_mdist_smallparks,label_nig_rat_daily,label_nig_rat_daily3,label_mdist_nres_daily,label_num_community_places,label_num_community_places_poi,label_avg_block_area,label_sphi,label_enterprises_empl_size,label_pop_rat_num,label_emp_rat_pop,label_den_nres_daily,label_mdist_parks,label_den_nres_non-daily,label_mdist_railways,label_mdist_highways,label_mdist_water,label_activity_density
AUC,0.632,0.768,0.630,0.743,0.531,0.577,0.588,0.581,0.643,0.763,0.742,0.507,0.784,0.594,0.606,0.753,0.589,0.769,0.533,0.734,0.632,0.657,0.629,0.704
Accuracy,0.605,0.694,0.600,0.692,0.527,0.559,0.555,0.557,0.598,0.683,0.677,0.493,0.732,0.567,0.588,0.701,0.557,0.698,0.535,0.662,0.608,0.604,0.579,0.662
Precision,0.602,0.710,0.600,0.692,0.525,0.556,0.550,0.561,0.600,0.690,0.697,0.493,0.724,0.567,0.594,0.725,0.553,0.720,0.531,0.687,0.609,0.602,0.578,0.673
Recall,0.639,0.661,0.612,0.694,0.580,0.588,0.619,0.574,0.593,0.667,0.634,0.505,0.760,0.585,0.618,0.648,0.592,0.649,0.594,0.601,0.618,0.625,0.616,0.629
