,label_hType_mix,label_num_intersect,label_bld_avg_age,label_emp_rat_num,label_LUM5_single,label_RNR_nres,label_mdist_smallparks,label_nig_rat_daily,label_nig_rat_daily3,label_mdist_nres_daily,label_num_community_places,label_num_community_places_poi,label_avg_block_area,label_sphi,label_enterprises_empl_size,label_pop_rat_num,label_emp_rat_pop,label_den_nres_daily,label_mdist_parks,label_den_nres_non-daily,label_mdist_railways,label_mdist_highways,label_mdist_water,label_activity_density
AUC,0.626,0.742,0.610,0.722,0.550,0.597,0.600,0.581,0.663,0.748,0.724,0.527,0.756,0.615,0.612,0.721,0.597,0.740,0.472,0.708,0.615,0.670,0.605,0.680
Accuracy,0.579,0.681,0.575,0.650,0.516,0.566,0.584,0.560,0.614,0.705,0.676,0.528,0.697,0.579,0.580,0.659,0.561,0.694,0.480,0.668,0.579,0.616,0.573,0.653
Precision,0.580,0.694,0.576,0.646,0.519,0.562,0.585,0.560,0.618,0.718,0.690,0.529,0.687,0.581,0.580,0.671,0.554,0.703,0.482,0.683,0.578,0.622,0.567,0.668
Recall,0.595,0.651,0.577,0.675,0.555,0.602,0.591,0.586,0.611,0.677,0.638,0.522,0.737,0.579,0.601,0.627,0.620,0.666,0.527,0.630,0.592,0.610,0.613,0.613
