,label_hType_mix,label_num_intersect,label_bld_avg_age,label_emp_rat_num,label_LUM5_single,label_RNR_nres,label_mdist_smallparks,label_nig_rat_daily,label_nig_rat_daily3,label_mdist_nres_daily,label_num_community_places,label_num_community_places_poi,label_avg_block_area,label_sphi,label_enterprises_empl_size,label_pop_rat_num,label_emp_rat_pop,label_den_nres_daily,label_mdist_parks,label_den_nres_non-daily,label_mdist_railways,label_mdist_highways,label_mdist_water,label_activity_density
AUC,0.740,0.939,0.880,0.939,0.627,0.665,0.756,0.714,0.948,0.921,0.933,0.683,0.890,0.787,0.707,0.842,0.715,0.914,0.571,0.935,0.728,0.788,0.747,0.955
Accuracy,0.688,0.863,0.822,0.866,0.586,0.616,0.682,0.661,0.904,0.831,0.854,0.620,0.836,0.713,0.647,0.761,0.645,0.853,0.551,0.874,0.663,0.719,0.667,0.878
Precision,0.679,0.876,0.827,0.893,0.580,0.611,0.681,0.668,0.913,0.857,0.865,0.636,0.813,0.725,0.646,0.775,0.669,0.863,0.555,0.877,0.674,0.696,0.670,0.910
Recall,0.729,0.845,0.808,0.835,0.639,0.682,0.689,0.661,0.892,0.798,0.838,0.553,0.873,0.687,0.670,0.738,0.580,0.837,0.525,0.880,0.637,0.783,0.672,0.839
